,Name,Category,Business Description,Based in,Tags,Total Funding,Founded,Website,Company Status
49,SPEDA,Denmark,"Clinical research is based on patient data from medical records, but electronic medical record systems rarely 'speak' with other IT-systems, such as the ones used for data capture in clinical research.",Copenhagen,"Health, BigData, SaaS",Between €2.5 million-5 million,2021.0,https://speda.io/,Active
50,Social Tech Projects,Denmark,Social Tech Projects ApS is a dynamic start-up that strives to leverage digital technologies for the purpose of generating social.,Copenhagen,Purpose,Between €100K-€500K,2019.0,https://socialtechprojects.com/,Active
51,Sens Vue,Denmark,Sens-vue is developing a solution in personalized ophthalmological care.,Copenhagen,Health,Between €500K-€ 1 million,2022.0,https://www.sens-vue.dk/,Active
52,SearchMaster,Denmark,"SEARCHMASTER ApS was founded in 2019 by Søren and Marianne Mogensen, who are also owners of SEAMASTER Holding and SEAMASTER ApS.",Esbjerg,"Marine Technology, Safety Tech",Above €25 million,2019.0,https://searchmaster.dk/,Active
53,Phanofi,Denmark,We are here for enabling the future of communication.We make high-speed data communication accessible.,Kongens Lyngby,BigData,Above €25 million,2022.0,https://phanofi.com/,Active
54,Paint’R,Denmark,Our goal is to develop a packaging for paint that makes it easier for the painters to do their job.,Copenhagen,Purpose,Above €25 million,2020.0,https://paintr.dk/,Active
55,Pacific North,Denmark,"Pacific North is creating safety in watersports, without hindering the action.",Aalborg,Sports,Between €1 million-€ 2.5 million,2021.0,https://pacificnorth.dk/,Active
56,MyKin.ai,Denmark,"Kin is an AI designed as a compassionate companion, providing individuals with privacy-first, empathetic interaction, and stimulating conversation.",Copenhagen,"AI, Health, SaaS",Between €2.5 million-5 million,2023.0,https://mykin.ai/,Active
57,Molecular Quantum Solutions,Denmark,"MQS provides computational tools to accelerate research & development efforts by the pharma, biotech and chemical industry.",Copenhagen,"Purpose, Health, IoT",Between €500K-€ 1 million,2019.0,https://mqs.dk/,Active
59,Jabbr,Denmark,"Jabbr lets you record boxing matches with a virtual video production crew, all you need is 1, 2, or 3 smartphones.",Copenhagen,BigData,Between €5 million-€10 million,2022.0,https://jabbr.ai/,Active
60,Inspectral,Denmark,Inspectral Solutions is making the food supply process more efficient and cost-effective by eliminating costly call-backs through smart vision,Copenhagen,"Agritech, AI, Big Data",Between €100K-€500K,2023.0,https://inspectral.ai/,Active
61,InnoPilot,Denmark,Industrial Machinery Manufacturing,Copenhagen,BigData,Between €500K-€ 1 million,2021.0,https://innopilot.dk/,Active
62,grounded,Denmark,Bean4Cup is a forward-thinking and innovative company with a strong focus on creating green products that can make a difference to our earth.,Copenhagen,Sustainability,Between €1 million-€ 2.5 million,2023.0,https://groundedcups.com/,Active
63,Enyday,Denmark,"App and a digital platform to operating energy communities in buildings or districts with collectively self-consumption of solar. A “behind-the-meter” energy community, could be a large apartment building or cluster housing with collective power buy, solar PV, battery storage, and EV chargers.",Copenhagen,SaaS,Between €2.5 million-5 million,2017.0,https://enyday.com/,Active
64,Dynelectro,Denmark,"Second generation electrolysis Power-to-X solutions We are a boutique green energy innovation firm passionately accelerating Power-to-X solutions. Through our strategic partnerships and patented green energy technologies, we lead the way to deliver clean and efficient solutions.",Copenhagen,Sustainability,Between €5 million-€10 million,2018.0,https://dynelectro.dk/,Active
65,CatchScan,Denmark,CatchScan is a software driven platform for content creators who wants to automate protection of their copyright online.,Aalborg,SaaS,Above €25 million,2021.0,https://catchscan.com/,Active
66,BuildCode,Denmark,"Buildcode is a software engineering company, with a background in the construction industry, we are specialized in developing systems for optimizing quality assurance and progress management on construction sites.",Odensee,"BigData, Real Estate",Between €1 million-€ 2.5 million,2017.0,https://buildcode.dk/,Active
67,BetterChoice,Denmark,"With the ever-increasing number of ecolabels in the market, it's a daunting task for consumers to differentiate the truly sustainable products from the ones that are simply jumping on the bandwagon. It's not just the consumers who are struggling - retailers, e-tailers and brands are grappling with the challenge of communicating their sustainability credentials effectively.",Denmark,Purpose,Between €100K-€500K,2023.0,https://betterchoice.today/,Active
68,ATTO 3D,Denmark,"ATTO3D offers versatile solutions for micro- and nanoscale fabrication at an affordable cost, without having to compromise on the quality. Through complex optics, high-end nano-positioners, and inventive designs, ATTO3D have brought the conventional photolithography system out of the clean-room and made it available as an easily accessible service. Enjoy the power of state-of-the-art nanotechnology on demand.",Kongens Lyngby,Nanotechnology,Between €1 million-€ 2.5 million,2022.0,https://atto3d.com/,Active
69,Alcolase,Denmark,In Alcolase ApS we aim to change the way people think of alcohol consumption today.,Copenhagen,Health,Between €100K-€500K,2021.0,https://alcolase.com/,Active
70,Aerial Tools,Denmark,The recent development of Vertical and Take off Landing (VTOL) products in the Unmanned Aerial System (UAS) market combines the simplicity in use of multirotor aircrafts and the aerodynamic advantages from fixed wing aircrafts.,Copenhagen,Drones,Between €1-€100K,2019.0,https://aerial-tools.com/,Active
71,danBots,Denmark,"First intraoral scanner for less than DKK 30,000. Introductory price: we pay the VAT!",Copenhagen,Health,Between €1-€100K,2017.0,http://www.danbots.com/,Active
72,EchoVice,Denmark,Improving echocardiography images through stabilizing ultrasound probes.,Denmark,Health,Between €100K-€500K,2022.0,http://echovice.dk/,Active
73,ClientForge,Denmark,"With ClientForge, freelancers and/or consultants can share progress and time spent to make a client feel more at ease. No more mails and phone calls asking for a status. No more guilt for forgetting to update your client.

When you keep track of time spent, you also keep the client up-to-date at the same time. One less thing to think about in a busy day with deadlines and new projects coming up.

ClientForge - making communication between freelancer and clients easier and simpler.",Koege,"SaaS, productivity, communication",No funding announced yet,2024.0,https://clientforge.co/,Active
74,Pluto.markets,Denmark,Pluto is the new Nordic investment app rebuilt from the bottom up to provide the experiences modern investors desire and deserve. Built and fully regulated in Denmark. Modern Investing for 100m Europeans. Pluto is the new nordic investment app for the modern investor. Built and regulated in Denmark. Launching July 1 st. 2024.,Copenhagen,"Financial Services, FinTech, Investment",Between €2.5 million-5 million,2021.0,https://pluto.markets/,Active
75,Aegir Insights,Denmark,"Aegir Insights is a technology-driven intelligence company serving the offshore wind sector. We leverage data science and deep industry experience to help global renewable investors make smarter decisions. Aegir Insights offers comprehensive intelligence solutions that cover more than 70 offshore wind markets, providing thematic insights and up-to-date market.",Copenhagen,"AI, ML, Power-to-X, Offshore wind",Between €5 million-€10 million,2024.0,https://www.aegirinsights.com/,Active
76,Artelize,Denmark,"Artelize is a platform dedicated to the world of performing arts, offering a comprehensive range of events, performers, and works in classical music, opera, musicals, ballet, dance, and drama. It serves as a hub for both fans and professionals to explo...",Copenhagen,"Godaddy Nameserver,Marketing Automation,Image and Video Services,",Between €500K-€ 1 million,2021.0,https://artelize.com/,Active
77,proemial,Denmark,"Proemial is building an open platform that connects researchers to a larger and more diverse audience through personalized summaries of the latest research papers. The mission is to make it easy to read, discuss, understand and engage with recent discoveries, the researchers that produce them,",Aarhus,"Technology, Information and Internet",No funding announced yet,2023.0,https://proemial.ai/,Active
78,Performativ,Denmark,"Performativ revolutionizes wealth management with powerful, secure, and affordable software that redefines the advisory process and enhances the customer experience. Their suite of tools simplifies complex tasks, providing wealth managers and clients.",København,"Marketing Automation,Email Hosting Service,Tag Management,",No funding announced yet,2020.0,https://www.performativ.com/,Active
79,VISO,Denmark,"VISO is a multilingual and mobile-friendly platform that provides content creators with a suite of tools to enhance their work. By leveraging smart technologies for SEO and analytics, VISO enables creators to optimize their content creation process and.",Brussels,"Customer Support,Email Delivery Service,Cloud Computing Services",Between €2.5 million-5 million,2022.0,https://www.viso.tv,Active
80,Hakio,Denmark,"With our AI-powered demand forecasting platform, we help fashion and apparel companies make more accurate predictions about their future sales to optimize inventory levels.

This enables planners in the fashion industry to reduce excess inventory and free up capital to avoid stockouts and costly overstock. All things that lead to leaner costs, better product availability, and last but not least, a CFO with a smile on their face.",Aarhus,"Demand Planning, Forecasting, Demand Forecasting",Between €2.5 million-5 million,2022.0,https://hakio.com/,Active
81,Dealflow,Denmark,"Dealflow is the #1 invoicing platform for online entrepreneurs, providing free global transfers, instant payouts, and automated invoicing processes.Dealflow is an invoicing platform for global companies, and it is the only platform of its kind that is able to combine free global transfers, instant payouts and payment flow automation in one place.",København,"Tag Management,Godaddy Nameserver,Marketing Automation,",Between €100K-€500K,2021.0,https://www.dealflow.live/,Active
82,Klimate,Denmark,"Klimate.co reverses climate change by removing CO2 through top carbon removal projects, helping companies achieve Net Zero with tailored",Copenhagen,"Marketing Automation,Authentication Services,,Cloud Computing Services,",Between €1 million-€ 2.5 million,2020.0,https://klimate.co/,Active
83,Meo,Denmark,"Meo is an all-in-one platform for KYC (Know Your Customer) and KYB (Know Your Business). A system built to ensure the compliance of AML (Anti-Money Laundering) and GDPR regulations. 
It's natively integrated with leading financial databases, business registries, AML providers, and fraud prevention APIs. The modern operating system for compliance teams in AML regulated businesses.",Copenhagen,"KYC, AML, Identity Management, Onboarding",Between €1 million-€ 2.5 million,2017.0,https://www.meo.io/,Active
84,Novo Nordisk,Denmark,"Novo Nordisk is a leading global healthcare company founded in 1923 and headquartered in Denmark. The company's purpose is to drive change to defeat diabetes and other serious chronic diseases such as obesity, rare blood disorders, and endocrine disord..",Bagsværd,Content Management System Marketing Automation Human Capital Management Website Optimization,No funding announced yet,2005.0,https://www.novonordisk.com/,Active
85,Woba,Denmark,"Woba.io is a digital HR platform that provides insights, measurement of effectiveness, and retention strategies for employees. With solutions for employee well-being, onboarding, exit processes, and whistleblower compliance, Woba.io",Copenhaguen,Wordpress Microsoft Office 365 Marketing Automation Content Management System,Between €1 million-€ 2.5 million,2016.0,https://woba.io/,Active
86,Formalize,Denmark,"Simplifying compliance together · Formalize Compliance Operations System & Whistleblower Software by Formalize · Covering 5M+ employees. Our journey started within the whistleblowing compliance sector, highlighted by the award-winning Whistleblower Software by Formalize, laying the foundation of our success story. This initial chapter has been within whistleblowing compliance and meeting those regulations.",Aarhus,"Software Development, Compliance Operations System, Whistleblower Software",Between €10 million-€25 million,2022.0,https://formalize.com/en,Active
87,Rodinia Generation,Denmark,"The fashion industry has a problem with overproduction. This is not only translated into devastating environmental impact but also into huge financial losses. The reason is an outdated manufacturing industry, that relies on technology invented before the internet.",Copenhagen,"Apparel Manufacturing, Innovation, Patent-Pending, Fashion",Between €2.5 million-5 million,2017.0,https://www.rodiniageneration.io/,Active
88,1ID,Denmark,We identify people. We digitize and manage IDs for private individuals and service businesses in demand for customer identification. We digitize and manage IDs for private individuals and service businesses in need for customer identification. Share your personal data with partners and other users directly from the 1ID App by a simple command.,Østerbro,"Software Development, Digitize, ID",Between €100K-€500K,2020.0,https://www.1id.one,Active
89,Herbico,Denmark,"Herbico is a company that specializes in providing high-quality herbal products and services. We are dedicated to promoting natural health and wellness through our range of herbal supplements, teas, and skincare products.",Randers,"eCommerce, DNS, B2C",Between €100K-€500K,2023.0,https://herbico.dk/,Active
90,Gain Momentum,Denmark,"Momentum tackles the challenge posed by the EU's Digital Product Passport and Supply Chain Due Diligence Act, part of broader sustainability and transparency regulations. These directives require fashion brands to document extensive product data, including materials, sustainability practices, and lifecycle information, a daunting task for companies, especially those with complex supply chains. Our platform simplifies this process by enabling efficient ESG data collection and management across the value chain.",Copenhagen,"Fashion, Information Technology, Software Development",Between €100K-€500K,2024.0,https://gainmomentum.de/,Active
92,Anemo Robotics,Denmark,Creating innovations for measuring marine biodiversity. Essentially building underwater cameras paired with AI to detect fish abundance. Renting cameras and charging for processing the footage.,Copenhagen,"Software Development, AI, Quality Biodiversity",Between €100K-€500K,2023.0,https://anemorobotics.com/,Active
93,Niimblr,Denmark,"Niimblr is a feedback platform that improves the approval process for content created by artists, digital
designers, and content creators.",Copenhagen,#feedbackplatform #digitalassetcollaboration #digitalvisualization,Between €1-€100K,2021.0,www.niimblr.com,Active
94,LegalPass,Denmark,Legal support as a benefit,Copenhagen,"Legal, HR, insurance",Between €500K-€ 1 million,2021.0,www.legalpass.com,Active
95,Workjoy,Denmark,The easiest way to lead remote teams,Copenhagen,Remote work management,No funding announced yet,2022.0,Https://workjoy.co,Active
97,X Scooter,Denmark,A NEW E-SCOOTER THERE IS GOING TO CHANGE PEOPLES LIFE,COPENHAGEN,THE LIGTEST E-SCOOTER IN THE WORLD,No funding announced yet,2023.0,xscooter.vip,Idea Stage
98,re:cinq,Denmark,To help companies reduce their IT-related carbon emissions while becoming more cost efficient.,Arden,"sustainability, cloud, software",Between €500K-€ 1 million,2023.0,re-cinq.com,Active
99,Rig.dev,Denmark,"The application platform for Kubernetes. Deploy, manage and debug cloud-native applications at scale 
without overwhelming engineers with the complexity of K8s.",Aarhus,"devtool,kubernetes,devex",Between €1 million-€ 2.5 million,2022.0,htttps://rig.dev,Active
100,Cinematronic ApS,Denmark,"Cinematronic is engaged in two ground-breaking product lines to significantly increase the viewer experience for audiovisual content via biometric user-reaction insights.

Firstly, we are developing a patent-pending interactive, adaptive media system.
A lot of content does not live up to users’ expectations, resulting in a loss of interest over time. Our system ensures a consistently high-quality user experience throughout the user’s media consumption. Besides making adaptable stories, the solution will become a fully automated quality assurance system. Using biosensors, the system detects the psychophysiological reaction of users and automatically adjusts the content based on their immediate needs. 

Moreover, we are working on Biometric Quality Assurance.
Conventionally, media production companies invest a significant amount of time and money in creating high-quality productions. Yet, this is not always a warranty for success. Quality assurance is often not used within the creative production phase but rather at the end of production when most of the financial and creative resources have already been spent. Our quality assurance solution uses biosensors as part of the research design within the creative process, dramatically increasing the level of user insight provided – making it easier for producers to tailor the user experience to their target audience before finalizing the productions.",Aalborg,"deep tech, artificial intelligence, adaptive media, eye tracking, galvanic skin response, photoplethysmography, quality assurance, screen testing, game testing, play testing, ai generated content, human behavior research, user experience, emotion recognition, facial expression analysis, biometric data analysis, cognitive computing, neurotechnology, user engagement, attention analysis, user interaction, physiological responses, usability testing, immersive experiences, interactive media, machine learning, data analytics, user-centric design",No funding announced yet,2023.0,https://www.cinematronic.dk/,Active
101,Krater.ai,Denmark,"Krater.ai is an AI application with 9 different tools for content creation, including AI copywriting, image generation, and speech to text. It is user-friendly, provides a streamlined workflow, and is 100% plagiarism-free. Loved by over 30,000 users, it saves time and effort by eliminating the need for multiple apps and logins.",Copenhagen,"Artificial Intelligence,AI,Copywriting,Productivity",No funding announced yet,2023.0,https://www.krater.ai/,Active
102,Bedbible.com,Denmark,"Bedbible is a crowdsourced sex toy review platform with a vetted team of testers. In addition to unbiased sex toy reviews a team of sex experts, sex therapists and other industry experts share their knowledge on Bedbible.com. All information is provided at no cost for users.",Aarhus,"sex toys, sex toy reviews, sexual health",Between €100K-€500K,2018.0,https://bedbible.com,Active
103,PassionClass,Austria,"The AirBNB for classes.  Learn or teach anything, with real people and live class.",vienna,#PassionClass #OnlineLearning #LanguageLearning,No funding announced yet,2023.0,www.passionclass.co,Active
104,Sensae,Denmark,"Revealing Hidden Emotional Connections - Sensae aims to enhance personal wellbeing by using artificial intelligence and data-driven techniques. 

The A.I. Biofeedback Loop with a special touch - Our technology integrates physiology and psychology using haptic biofeedback to help people reconnect with their inner emotions.

Our sole goal is build technology to help enhance people's lives.",Copenhagen,"Mental Health, Biofeedback, Haptics",Between €500K-€ 1 million,2020.0,https://www.sensae.com,Active
105,Clean Matter Aps,Denmark,"Clean Matter Aps is a pioneering Danish company specializing in wastewater treatment. Our flagship technology, Power-to-P, effectively recovers Phosphorus from Sewage Sludge Incineration Ash. This technology, patented by the Technical University of Denmark, has been further refined by Clean Matter Aps in collaboration with Biofos, Denmark’s premier wastewater utility responsible for the Copenhagen metropolitan area, and Kompetenzzentrum Wasser Berlin (KWB), a renowned non-profit German water research center.


Power-to-P Technology - A Glimpse:
Our proprietary electrodialysis process, Power-to-P, leverages electrical power and water to extract Phosphorus from Sewage Sludge Incineration Ash. Central to this process is the transference of ions between selective membranes, driven by an electric potential. This allows for efficient Phosphorus recovery. Notably, the process is environmentally sustainable, using only power and water and emitting no harmful gases. The outcome is a pristine, industrial-grade Phosphoric Acid, devoid of contaminants, primed for direct use as a compound in fertilizer production. Concurrently, the remaining mineral fraction, free from harmful substances, is suitable for cement aggregate use.",Fuglebjerg,"Circular economy, CleanTech, Phosphorus recovery",No funding announced yet,2023.0,https://clean-matter.com,Active
107,RaskRask,Denmark,"In collaboration with carefully handpicked specialists in their field RaskRask have established a user-friendly platform for massage therapy. This enables you to easily book a professional massage therapist to your home or workplace, whenever it suits you.",Aarhus,"Massage, Platform, Wellness",No funding announced yet,2015.0,raskrask.dk,Active
108,Superseek,Denmark,Superseek helps businesses create custom ChatGPT-powered AI assistants that can be added to their website to instantly answer any customer query about their product or service.,Copenhagen,ChatGPT for your business,No funding announced yet,2023.0,https://superseek.ai,Active
109,ToolTrove.ai,Denmark,ToolTrove.ai: Your ultimate guide in the dynamic realm of AI tools. Trustworthy rankings based on solid third-party data make us the go-to source for discovering and selecting the best AI tools across various categories. Simplify your search with ToolTrove.ai.,Glamsbjerg,"AI, Tools, Directory, ranking",No funding announced yet,2023.0,https://www.tooltrove.ai/,Active
110,Storebuddy,Denmark,"Storebuddy is a SaaS product which automates accounting and reconciliation of orders, online payments, payouts and fees to create a scalable solution for e-commerce accounting.",Copenhagen,"SaaS, ecommerce, accounting, fintech",No funding announced yet,2015.0,https://storebuddy.dk/,Active
