Name,Category,Based in,Tags,Founded,Image URL
VISO,Denmark,Brussels,"Customer Support,Email Delivery Service,Cloud Computing Services",2022,https://www.eu-startups.com/wp-content/uploads/2024/05/vizio_logo-150x150.jpg
Hakio,Denmark,Aarhus,"Demand Planning, Forecasting, Demand Forecasting",2022,https://www.eu-startups.com/wp-content/uploads/2024/05/Hakio-150x150.jpeg
Dealflow,Denmark,København,"Tag Management,Godaddy Nameserver,Marketing Automation,",2021,https://www.eu-startups.com/wp-content/uploads/2024/05/1630510156410-150x150.jpg
Klimate,Denmark,Copenhagen,"Marketing Automation,Authentication Services,,Cloud Computing Services,",2020,https://www.eu-startups.com/wp-content/uploads/2024/05/klimate_co_logo-150x150.jpg
Meo,Denmark,Copenhagen,"KYC, AML, Identity Management, Onboarding",2017,https://www.eu-startups.com/wp-content/uploads/2024/05/Meo-150x150.jpeg
Novo Nordisk,Denmark,Bagsværd,Content Management System Marketing Automation Human Capital Management Website Optimization,2005,https://www.eu-startups.com/wp-content/uploads/2024/05/novo_nordisk_logo-1-150x150.jpg
Woba,Denmark,Copenhaguen,Wordpress Microsoft Office 365 Marketing Automation Content Management System,2016,https://www.eu-startups.com/wp-content/uploads/2024/05/Woba-Groen-1-150x46.webp
Formalize,Denmark,Aarhus,"Software Development, Compliance Operations System, Whistleblower Software",2022,https://www.eu-startups.com/wp-content/uploads/2024/05/Formalize-150x150.jpeg
Rodinia Generation,Denmark,Copenhagen,"Apparel Manufacturing, Innovation, Patent-Pending, Fashion",2017,https://www.eu-startups.com/wp-content/uploads/2024/05/Rodinia-Generation-150x150.jpeg
1ID,Denmark,Østerbro,"Software Development, Digitize, ID",2020,https://www.eu-startups.com/wp-content/uploads/2024/05/1ID-150x150.jpg
Herbico,Denmark,Randers,"eCommerce, DNS, B2C",2023,https://www.eu-startups.com/wp-content/uploads/2024/05/369670222_133066913193871_7767587819705473730_n-150x150.jpg
Gain Momentum,Denmark,Copenhagen,"Fashion, Information Technology, Software Development",2024,https://www.eu-startups.com/wp-content/uploads/2024/05/Gain-Momentum-150x150.webp
Gain Momentum,Denmark,Copenhagen,"Fashion, Information Technology, Software Development",2024,https://www.eu-startups.com/wp-content/uploads/2024/05/Gain-Momentum-150x150.webp
Anemo Robotics,Denmark,Copenhagen,"Software Development, AI, Quality Biodiversity",2023,https://www.eu-startups.com/wp-content/uploads/2024/05/Anemo-Robotics-150x150.jpeg
Niimblr,Denmark,Copenhagen,#feedbackplatform #digitalassetcollaboration #digitalvisualization,2021,https://www.eu-startups.com/wp-content/uploads/2024/05/niimblr_logo-150x150.jpg
LegalPass,Denmark,Copenhagen,"Legal, HR, insurance",2021,https://www.eu-startups.com/wp-content/uploads/2024/04/linkedin-1-150x150.png
Workjoy,Denmark,Copenhagen,Remote work management,2022,https://www.eu-startups.com/wp-content/uploads/2024/05/workjoy_co_logo-150x150.jpg
X Scooter,Denmark,COPENHAGEN,THE LIGTEST E-SCOOTER IN THE WORLD,2023,https://www.eu-startups.com/wp-content/uploads/2024/03/Aben-scooter-kuffert-5-2023-11-21-150x141.jpeg
re:cinq,Denmark,Arden,"sustainability, cloud, software",2023,https://www.eu-startups.com/wp-content/uploads/2024/03/Lockup-Default-150x39.png
Rig.dev,Denmark,Aarhus,"devtool,kubernetes,devex",2022,https://www.eu-startups.com/wp-content/uploads/2024/03/2-150x94.png
Cinematronic ApS,Denmark,Aalborg,"deep tech, artificial intelligence, adaptive media, eye tracking, galvanic skin response, photoplethysmography, quality assurance, screen testing, game testing, play testing, ai generated content, human behavior research, user experience, emotion recognition, facial expression analysis, biometric data analysis, cognitive computing, neurotechnology, user engagement, attention analysis, user interaction, physiological responses, usability testing, immersive experiences, interactive media, machine learning, data analytics, user-centric design",2023,https://www.eu-startups.com/wp-content/uploads/2024/03/cinematronic_logo.jpg
Krater.ai,Denmark,Copenhagen,"Artificial Intelligence,AI,Copywriting,Productivity",2023,https://www.eu-startups.com/wp-content/uploads/2024/03/featuredpic-150x90.png
Bedbible.com,Denmark,Aarhus,"sex toys, sex toy reviews, sexual health",2018,https://www.eu-startups.com/wp-content/uploads/2024/03/Copy-of-BedBible-Logo-150x150.png
PassionClass,Denmark,Slagelse,"moving,movingcompany,relocation",2004,https://www.eu-startups.com/wp-content/uploads/2024/03/logo-2-150x143.png
Sensae,Denmark,Copenhagen,"Mental Health, Biofeedback, Haptics",2020,https://www.eu-startups.com/wp-content/uploads/2024/02/Sensae-Flat-Tagline-Light-2-blue-150x34.png
Clean Matter Aps,Denmark,Fuglebjerg,"Circular economy, CleanTech, Phosphorus recovery",2023,https://www.eu-startups.com/wp-content/uploads/2024/01/Skaermbillede-2024-01-30-kl.-21.11.05-150x65.png
Fluentos,Denmark,Vejle,"saas, marketing, cro, b2b",2022,https://www.eu-startups.com/wp-content/uploads/2024/01/fluentos-150x150.png
RaskRask,Denmark,Aarhus,"Massage, Platform, Wellness",2015,https://www.eu-startups.com/wp-content/uploads/2024/01/Logo-RaskRask-kvadrat-400-150x150.png
Superseek,Denmark,Copenhagen,ChatGPT for your business,2023,https://www.eu-startups.com/wp-content/uploads/2024/01/Superseek-logo-small-150x150.png
ToolTrove.ai,Denmark,Glamsbjerg,"AI, Tools, Directory, ranking",2023,https://www.eu-startups.com/wp-content/uploads/2024/01/tooltrove-150x94.webp
Storebuddy,Denmark,Copenhagen,"SaaS, ecommerce, accounting, fintech",2015,https://www.eu-startups.com/wp-content/uploads/2024/01/8-logos-011-150x106.png
Clockwork Reklamebureau A/S,Denmark,Odense,"advertising, marketing, communication, logo design, identity programme, Web design, WordPress, packaging design, branding, creativity",2023,https://www.eu-startups.com/wp-content/uploads/2024/01/Clockwork_Logo_Image-150x104.jpg
Selldone,Denmark,Copenhagen,"ecommerce,saas,platform,business management",2018,https://www.eu-startups.com/wp-content/uploads/2024/01/logo-1200-150x150.jpg
TETATET AI,Denmark,Copenhagen,"B2B, Health Care, Mental Health, AI",2023,https://www.eu-startups.com/wp-content/uploads/2024/01/tetatet_logo_black_on_transparent-150x84.png
Red Bien,Denmark,Odense,"have, biodiversitet",2023,https://www.eu-startups.com/wp-content/uploads/2023/12/redbien-logo-150x129.png
NICE NICE,Denmark,Erslev,"Marketing, Branding, Webdesign",2023,https://www.eu-startups.com/wp-content/uploads/2023/12/Profile-150x150.jpg
IPP Europe,Denmark,Copenhagen,"Fintech, Payments, PCI",2021,https://www.eu-startups.com/wp-content/uploads/2023/12/IPPeurope-logo-dark-150x46.png
KAKTI,Denmark,Grindsted,"ML, Optimisation, AI, Energy",2023,https://www.eu-startups.com/wp-content/uploads/2023/10/Logo-without-text-150x140.jpg
Bookinghero,Denmark,Kongens Lyngby,"Online booking, SaaS, Marketplace, Health",2023,https://www.eu-startups.com/wp-content/uploads/2023/06/Bookinghero-150x150.jpg
Holdbar,Denmark,Aarhus,"Software, Travel, Technology, Information",2023,https://www.eu-startups.com/wp-content/uploads/2023/05/Holdbar-150x150.jpg
Mw Regnskab ApS,Denmark,Copenhagen,"Financial, bookkeeping services, Accountant",2023,https://www.eu-startups.com/wp-content/uploads/2023/05/Mw-Regnskab-ApS-150x150.jpg
Star.Care,Denmark,Copenhagen,"healthcare, health platform, online services",2023,https://www.eu-startups.com/wp-content/uploads/2022/12/Star.Care_-150x150.jpg
Virtuall,Denmark,Copenhagen,"Internet Publishing, 3D Design, Customer Experience",2022,https://www.eu-startups.com/wp-content/uploads/2022/12/virtuall-150x150.jpg
Coana,Denmark,Aarhus,"Department, JavaScript, Node.js, Software Maintenance, Program Analysis, TypeScript, Security",2022,https://www.eu-startups.com/wp-content/uploads/2022/12/asd-23-150x150.jpg
Atrib,Denmark,Copenhagen,"ROI, Visualise performance, marketing data",2022,https://www.eu-startups.com/wp-content/uploads/2022/12/ww4-6-150x47.png
Agrobiomics,Denmark,Copenhagen,"agriculture , food security, novel science-based",2022,https://www.eu-startups.com/wp-content/uploads/2022/12/aaa-52-150x150.jpg
BusySunday,Denmark,Hellerup,"software developers, marketing , real estate industry",2022,https://www.eu-startups.com/wp-content/uploads/2022/12/aaa-26-150x150.jpg
BlackCap,Denmark,Saborg,"Equity Management, Health Industry,",2022,https://www.eu-startups.com/wp-content/uploads/2022/12/aaa-6-150x150.jpg
BetterLabs,Denmark,Copenhagen,"Health Testing, Blood Tests, laboratories",2022,https://www.eu-startups.com/wp-content/uploads/2022/12/ASD-10-150x150.jpg
Raavare.com,Denmark,Copenhagen,"foodtech, platform, marketplace, agritech",2022,https://www.eu-startups.com/wp-content/uploads/2022/11/ravaaredotcom_logo_simple_new-150x149.png
Beoty,Denmark,Sønderborg,"Beauty, Health Care, Cosmetics, E-Commerce",2022,https://www.eu-startups.com/wp-content/uploads/2022/08/BEOTY-SQUARE-SIMPLE-BLACK-ON-LGREY-WEB-150x150.jpg
Sourcebirds,Denmark,"Copenhagen, Denmark","Trade-shows, factories search, alibaba",2022,https://www.eu-startups.com/wp-content/uploads/2022/08/logo_circle-150x150.png
Scentmore,Denmark,Copenhagen,"Perfume, scent, ai, recommendation",2022,https://www.eu-startups.com/wp-content/uploads/2023/09/0x0-150x113.png
Sprout Dynamics,Denmark,Copenhagen,"Food, Beverage Manufacturing, Retail",2022,https://www.eu-startups.com/wp-content/uploads/2023/04/Sprout-Dynamics-150x150.jpg
SmallClaims,Denmark,Copenhagen,"Legal Services, Legal tech, Digital",2022,https://www.eu-startups.com/wp-content/uploads/2023/04/SmallClaims-150x150.jpg
SmallClaims,Denmark,Copenhagen,"Legal Services, Legal tech, Digital",2022,https://www.eu-startups.com/wp-content/uploads/2023/04/SmallClaims-150x150.jpg
Contribe,Denmark,Copenhagen,"sustainability, marketing, commercial, TRansparency",2022,https://www.eu-startups.com/wp-content/uploads/2023/02/Contribe_primaerelogo-01-150x150.png
StockHawk,Denmark,Copenhagen,"stocks, portfolio, tracking, fintech",2022,https://www.eu-startups.com/wp-content/uploads/2023/01/1667465388140-150x150.jpeg
Probmet,Denmark,Copenhagen,"Breast Cancer, Brain Metastatic, Therapeutics",2022,https://www.eu-startups.com/wp-content/uploads/2023/01/1647359584180-150x150.jpeg
PerPlant,Denmark,Copenhagen,"Sustainable, Pesticides, Fertilizer",2022,https://www.eu-startups.com/wp-content/uploads/2023/01/asd-16-150x150.jpg
Ousia Pharma,Denmark,Copenhagen,"Pharma, Biotech, Peptide-drug",2022,https://www.eu-startups.com/wp-content/uploads/2023/01/1647251978548-150x150.jpeg
SolarHR,Denmark,Copenhagen,"Human Resources Services, Payroll, online platform",2022,https://www.eu-startups.com/wp-content/uploads/2023/01/solarhr-150x150.jpg
Myco4Food,Denmark,Copenhagen,"Social Networking, Biotechnology, Solid-state fermentation",2022,https://www.eu-startups.com/wp-content/uploads/2022/12/1667335113673-26-150x150.jpg
TriptoBIO,Denmark,Copenhagen,"Biotechnology Research, Innovation, Technology",2022,https://www.eu-startups.com/wp-content/uploads/2022/12/TriptoBIO-150x150.jpg
Horizon3,Denmark,Esbjerg,"Investment, Innovative Growth, Quarterly Capitalism",2022,https://www.eu-startups.com/wp-content/uploads/2022/12/ASD-3-150x56.png
Heyhack,Denmark,Copenhagen,"Security, Information Security, Web Vulnerability Scanning, OWASP",2022,https://www.eu-startups.com/wp-content/uploads/2022/12/ASD-45-150x150.jpg
Scaleup Finance,Denmark,Copenhagen,"Consulting, Finance, Financial Services, Software",2021,https://www.eu-startups.com/wp-content/uploads/2021/12/Scaleup-150x150.png
Fullview,Denmark,Copenhagen,"B2B, SaaS",2021,https://www.eu-startups.com/wp-content/uploads/2021/12/fullview-logo-150x150.jpeg
Weld,Denmark,Copenhagen,"Information Technology, Software",2021,https://www.eu-startups.com/wp-content/uploads/2021/12/weld-logo-150x150.png
Weld,Denmark,Copenhagen,"Information Technology, Software, Data",2021,https://www.eu-startups.com/wp-content/uploads/2021/12/weld-150x150.png
bluekit,Denmark,Copenhagen,"Information Technology, Innovation Management, Product Design, Product Management",2021,https://www.eu-startups.com/wp-content/uploads/2021/12/bluekit-150x150.jpg
BactiQuant,Denmark,Birkera,"Biotechnology, Water, Water Purification",2021,https://www.eu-startups.com/wp-content/uploads/2021/12/BactiQuant-150x150.jpg
Aplica Denmark,Denmark,Roskilde,"Robotics, Industrial gluing, Ultrasonic welding, Leading supplier",2021,https://www.eu-startups.com/wp-content/uploads/2021/12/Aplica-Denmark-150x150.jpg
ALGIECEL,Denmark,Odense,"Biotechnology, GreenTech, Pollution Control, Renewable Energy",2021,https://www.eu-startups.com/wp-content/uploads/2021/12/ALGIECEL-150x150.jpg
Zoios,Denmark,Copenhagen,"Data, analytics, performance",2021,https://www.eu-startups.com/wp-content/uploads/2021/12/Zoios-logo-final-150x32.png
MoveNation,Denmark,Copenhagen,"migration, relocation",2021,https://www.eu-startups.com/wp-content/uploads/2021/12/Color-150x27.png
Penshift,Denmark,Copenhagen,"Pension, blockchain, Saas,",2021,https://www.eu-startups.com/wp-content/uploads/2021/12/ICON_BLUE.png
Penshift,Denmark,Copenhagen,"Pension, blockchain, Saas,",2021,https://www.eu-startups.com/wp-content/uploads/2021/12/ICON_BLUE.png
Go Autonomous,Denmark,Copenhagen,"B2B, E-Commerce, Platforms, SaaS, Software",2021,https://www.eu-startups.com/wp-content/uploads/2022/10/1656942432544-150x150.jpeg
INCUBATOR,Denmark,Kiev,innovation finance platform,2021,https://www.eu-startups.com/wp-content/uploads/2021/10/photo_2021-09-09_19-51-00-150x150.jpg
LEAP – The Business Model Game,Denmark,"Århus, Ebeltoft","Educational Games, Serious Games, Gamification, Business Development",2021,https://www.eu-startups.com/wp-content/uploads/2022/09/leap-the-business-model-game-logo-cropped-150x150.png
Tryp.com,Denmark,Odense,"Travel, Artificial Intelligence",2021,https://www.eu-startups.com/wp-content/uploads/2021/09/tryp-logo-150x150.png
Femilog Holding,Denmark,Copenhagen,"Female technology, digital solutions, health, AI, app",2021,https://www.eu-startups.com/wp-content/uploads/2021/08/Femilog-logo-lilla-1-PNG-150x150.png
Weply,Denmark,Copenhagen,"chat, livechat, live chat, lead generation, marketing tools, conversational marketing, customer acquisition",2021,https://www.eu-startups.com/wp-content/uploads/2021/07/weply_logo-300x300-1-150x150.png
ARTXP,Denmark,Copenhagen,"Marketplace, Art, Creator Economy",2021,https://www.eu-startups.com/wp-content/uploads/2021/07/1623643303462-150x150.jpeg
Baseline,Denmark,Copenhagen,"Design, Branding, Marketing, Consistency",2021,https://www.eu-startups.com/wp-content/uploads/2021/07/Hero2-150x85.png
kompasbank,Denmark,Vedbaek,"Banking, Finance, Financial Services",2021,https://www.eu-startups.com/wp-content/uploads/2021/06/lxoaz7h7yhrhzigvnxna-150x150.png
JOYN,Denmark,Copenhagen,"Social Network, SaaS, App",2021,https://www.eu-startups.com/wp-content/uploads/2021/06/mockups-150x100.png
JOYN,Denmark,Copenhagen,"Social Network, SaaS, App",2021,https://www.eu-startups.com/wp-content/uploads/2021/06/mockups-150x100.png
Responsibly,Denmark,Copenhagen,"Information Technology, Internet, Software",2021,https://www.eu-startups.com/wp-content/uploads/2021/06/iv7cghnjejk86ym01pfi-150x150.png
Bioomix,Denmark,Odense,"Agriculture, Biotechnology, Microbiology",2021,https://www.eu-startups.com/wp-content/uploads/2022/06/Bioomix-150x150.jpg
Nordic Sales Force,Denmark,Tilst,"B2B, Consulting, Direct Sales, SaaS",2021,https://www.eu-startups.com/wp-content/uploads/2022/06/Nordic-Sales-Force-150x150.jpg
ARENSBAK,Denmark,Kobenhoved,"Food and Beverage, Wine And Spirits, Winery",2021,https://www.eu-startups.com/wp-content/uploads/2022/06/ARENSBAK-150x150.jpg
Dynasty Studios,Denmark,Copenhagen,"Blockchain, Gaming, Computer Games",2021,https://www.eu-startups.com/wp-content/uploads/2022/06/Dynasty-Studios-150x150.jpg
EvodiaBio,Denmark,Copenhagen,"Biotechnology, Biotechnology Research, Sustainable",2021,https://www.eu-startups.com/wp-content/uploads/2022/06/EvodiaBio-150x150.jpg
PathoPulse,Denmark,Soborg,"Information Services, Information Technology, Digital Pathology",2021,https://www.eu-startups.com/wp-content/uploads/2022/06/PathoPulse-150x150.jpg
PEATZ,Denmark,Kongens Lyngby,"Geospatial, Environmental Services, Analytics",2021,https://www.eu-startups.com/wp-content/uploads/2022/06/PEATZ-150x150.jpg
Secure Spectrum,Denmark,Kongens Lyngby,"Compliance, Consulting, Financial Services",2021,https://www.eu-startups.com/wp-content/uploads/2022/06/Secure-Spectrum-150x150.jpg
BettaSensing,Denmark,Aarhus,"Food and Beverage, Quality Assurance, Sensor",2021,https://www.eu-startups.com/wp-content/uploads/2022/06/BettaSensing-150x150.jpg
Home.Earth,Denmark,Copenhagen,"Commercial Real Estate, Real Estate, Residential",2021,https://www.eu-startups.com/wp-content/uploads/2022/06/HomeEarth-150x150.jpg
